Team,Year,Season,Sport,Event,Medal
South Korea,2012,Summer,Taekwondo,Taekwondo Men's Flyweight,Silver
South Korea,2016,Summer,Taekwondo,Taekwondo Men's Featherweight,Bronze
United States,2008,Summer,Volleyball,Volleyball Men's Volleyball,Gold
United States,2016,Summer,Volleyball,Volleyball Men's Volleyball,Bronze
South Korea-1,2000,Summer,Badminton,Badminton Men's Doubles,Silver
South Korea,2004,Summer,Badminton,Badminton Men's Doubles,Silver
South Korea,2010,Winter,Short Track Speed Skating,"Short Track Speed Skating Women's 1,500 metres",Silver
South Korea,1992,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
South Korea,1992,Summer,Archery,Archery Women's Team,Gold
South Korea,1996,Summer,Hockey,Hockey Women's Hockey,Silver
South Korea-1,2004,Summer,Table Tennis,Table Tennis Women's Doubles,Silver
South Korea,1996,Summer,Hockey,Hockey Women's Hockey,Silver
South Korea,2006,Winter,Speed Skating,Speed Skating Men's 500 metres,Bronze
South Korea,1988,Summer,Handball,Handball Women's Handball,Gold
South Korea,2004,Summer,Handball,Handball Women's Handball,Silver
South Korea,1988,Summer,Judo,Judo Men's Half-Lightweight,Gold
South Korea-1,2004,Summer,Badminton,Badminton Women's Doubles,Bronze
South Korea-1,2008,Summer,Badminton,Badminton Women's Doubles,Silver
South Korea,1988,Summer,Archery,Archery Men's Team,Gold
South Korea,1998,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Silver
South Korea,2006,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",Silver
South Korea,2006,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",Silver
South Korea,2006,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
South Korea,2010,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",Silver
South Korea,2010,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Silver
South Korea,1992,Summer,Handball,Handball Women's Handball,Gold
Canada,1956,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
South Korea,1988,Summer,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
South Korea,1984,Summer,Basketball,Basketball Women's Basketball,Silver
South Korea-1,2008,Summer,Badminton,Badminton Mixed Doubles,Gold
South Korea-1,2008,Summer,Badminton,Badminton Women's Doubles,Silver
South Korea,1988,Summer,Boxing,Boxing Men's Featherweight,Bronze
South Korea-1,2008,Summer,Badminton,Badminton Men's Doubles,Bronze
South Korea,1988,Summer,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Bronze
South Korea,1984,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze
South Korea,2010,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",Gold
South Korea,2010,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",Gold
South Korea,2010,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Silver
South Korea,1996,Summer,Hockey,Hockey Women's Hockey,Silver
South Korea,2008,Summer,Baseball,Baseball Men's Baseball,Gold
South Korea,2008,Summer,Baseball,Baseball Men's Baseball,Gold
South Korea,2000,Summer,Gymnastics,Gymnastics Men's Parallel Bars,Silver
South Korea,2000,Summer,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
South Korea,1992,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",Bronze
South Korea,1992,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
South Korea,1998,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Silver
Hong Kong,1996,Summer,Sailing,Sailing Women's Windsurfer,Gold
South Korea,1984,Summer,Basketball,Basketball Women's Basketball,Silver
South Korea,1992,Summer,Handball,Handball Women's Handball,Gold
South Korea,2008,Summer,Handball,Handball Women's Handball,Bronze
United States,1952,Summer,Boxing,Boxing Men's Light-Heavyweight,Gold
United States,1948,Summer,Diving,Diving Men's Springboard,Bronze
United States,1948,Summer,Diving,Diving Men's Platform,Gold
United States,1952,Summer,Diving,Diving Men's Platform,Gold
South Korea,1996,Summer,Handball,Handball Women's Handball,Silver
South Korea,2004,Summer,Handball,Handball Women's Handball,Silver
South Korea,2000,Summer,Fencing,"Fencing Men's epee, Individual",Bronze
South Korea,2010,Winter,Speed Skating,Speed Skating Women's 500 metres,Gold
South Korea,2014,Winter,Speed Skating,Speed Skating Women's 500 metres,Gold
South Korea,1988,Summer,Handball,Handball Men's Handball,Silver
South Korea,2000,Summer,Taekwondo,Taekwondo Women's Welterweight,Gold
South Korea,2004,Summer,Archery,Archery Women's Individual,Silver
South Korea,2004,Summer,Archery,Archery Women's Team,Gold
South Korea,2012,Summer,Archery,Archery Women's Team,Gold
South Korea,1992,Summer,Boxing,Boxing Men's Middleweight,Bronze
South Korea,1996,Summer,Boxing,Boxing Men's Light-Heavyweight,Silver
South Korea,2000,Summer,Baseball,Baseball Men's Baseball,Bronze
South Korea,2010,Winter,Speed Skating,"Speed Skating Men's 5,000 metres",Silver
South Korea,2010,Winter,Speed Skating,"Speed Skating Men's 10,000 metres",Gold
South Korea,2014,Winter,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Silver
South Korea,2000,Summer,Baseball,Baseball Men's Baseball,Bronze
South Korea,2008,Summer,Baseball,Baseball Men's Baseball,Gold
South Korea,2016,Summer,Archery,Archery Men's Team,Gold
South Korea,1976,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
South Korea,1984,Summer,Handball,Handball Women's Handball,Silver
South Korea,1976,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
Australia,1984,Summer,Rowing,Rowing Women's Coxed Fours,Bronze
South Korea,2008,Summer,Baseball,Baseball Men's Baseball,Gold
United States,1996,Summer,Baseball,Baseball Men's Baseball,Bronze
Australia,1996,Summer,Rowing,Rowing Women's Lightweight Double Sculls,Bronze
Hong Kong,2012,Summer,Cycling,Cycling Women's Keirin,Bronze
United States,1920,Summer,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
United States,1920,Summer,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres, Team",Gold
United States,1920,Summer,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",Gold
United States,1920,Summer,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres, Team",Silver
United States,1920,Summer,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Gold
United States,1920,Summer,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",Gold
United States,1920,Summer,Shooting,"Shooting Men's Running Target, Single Shot, Team",Bronze
South Korea,2004,Summer,Judo,Judo Men's Lightweight,Gold
South Korea,1984,Summer,Handball,Handball Women's Handball,Silver
South Korea-1,2008,Summer,Badminton,Badminton Mixed Doubles,Gold
South Korea-1,2012,Summer,Badminton,Badminton Men's Doubles,Bronze
South Korea,2008,Summer,Baseball,Baseball Men's Baseball,Gold
Great Britain,2016,Summer,Rowing,Rowing Women's Coxed Eights,Silver
Canada,1992,Winter,Alpine Skiing,Alpine Skiing Women's Downhill,Gold
Australia,1956,Summer,Swimming,Swimming Women's 100 metres Freestyle,Bronze
Australia,1956,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Minerva Amsterdam,1900,Summer,Rowing,Rowing Men's Coxed Eights,Bronze
United States,1948,Summer,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver
Netherlands,1928,Summer,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold
Netherlands,1936,Summer,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Silver
Netherlands,2014,Winter,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Gold
United States,2002,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Norway,1908,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
France,1928,Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
Union des Socits Franais de Sports Athletiques,1900,Summer,Rugby,Rugby Men's Rugby,Gold
France,1964,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
France,1968,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
France,2012,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
France,2012,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
France,2004,Summer,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
France,2008,Summer,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Silver
France,1952,Summer,Fencing,"Fencing Men's Sabre, Team",Bronze
Denmark,1912,Summer,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver
France,2016,Summer,Fencing,"Fencing Men's Foil, Team",Silver
France,1984,Summer,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
France,1952,Summer,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Silver
France,1960,Summer,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Bronze
France,1964,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
Norway,2000,Summer,Handball,Handball Women's Handball,Bronze
United States,1924,Summer,Athletics,Athletics Men's Pentathlon,Bronze
Poland,1988,Summer,Judo,Judo Men's Half-Middleweight,Gold
Poland,1992,Summer,Judo,Judo Men's Middleweight,Gold
Russia,2014,Winter,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Gold
Russia,2014,Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
France,2004,Summer,Wrestling,"Wrestling Women's Middleweight, Freestyle",Bronze
France,2012,Summer,Judo,Judo Men's Lightweight,Bronze
Ludwigshafener Ruder Verein-1,1900,Summer,Rowing,Rowing Men's Coxed Fours,Bronze
East Germany-1,1976,Winter,Bobsleigh,Bobsleigh Men's Four,Gold
East Germany-1,1984,Winter,Bobsleigh,Bobsleigh Men's Two,Silver
East Germany-2,1984,Winter,Bobsleigh,Bobsleigh Men's Four,Silver
East Germany-2,1988,Winter,Bobsleigh,Bobsleigh Men's Two,Bronze
East Germany,1980,Summer,Volleyball,Volleyball Women's Volleyball,Silver
East Germany,1976,Summer,Rowing,Rowing Women's Coxed Eights,Gold
Germany,1992,Summer,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Silver
Germany,1992,Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Germany,2000,Summer,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Silver
Germany,2000,Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
East Germany,1980,Summer,Judo,Judo Men's Lightweight,Bronze
Germany,2004,Summer,Hockey,Hockey Women's Hockey,Gold
Switzerland,1976,Summer,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
Switzerland,1948,Summer,Gymnastics,Gymnastics Men's Individual All-Around,Silver
Switzerland,1948,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
Switzerland,1948,Summer,Gymnastics,Gymnastics Men's Horizontal Bar,Silver
Finland,1908,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Norway,2000,Summer,Football,Football Women's Football,Gold
East Germany,1976,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
Germany,1964,Summer,Athletics,Athletics Men's Pole Vault,Bronze
Finland,1956,Summer,Rowing,Rowing Men's Coxed Fours,Bronze
Finland,1960,Summer,Rowing,Rowing Men's Coxless Pairs,Bronze
Finland,2014,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Finland,1994,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Finland,1998,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
Finland,1994,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Finland,1998,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Finland,2006,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Finland,2010,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Finland,1932,Summer,Athletics,"Athletics Men's 5,000 metres",Gold
Finland,1936,Summer,Athletics,"Athletics Men's 5,000 metres",Silver
Finland,2012,Summer,Sailing,Sailing Women's Three Person Keelboat,Bronze
Finland,1998,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
Finland,1920,Summer,Athletics,Athletics Men's Pentathlon,Gold
Finland,1924,Summer,Athletics,Athletics Men's Pentathlon,Gold
Finland,1988,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Finland,2014,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Finland,1956,Summer,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
Finland,1964,Winter,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,Silver
Finland,1964,Winter,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
China,1996,Summer,Softball,Softball Women's Softball,Silver
China,2012,Summer,Fencing,"Fencing Men's Foil, Individual",Gold
Germany,1936,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Great Britain,1920,Summer,Hockey,Hockey Men's Hockey,Gold
Brazil,1996,Summer,Basketball,Basketball Women's Basketball,Silver
Brazil,1996,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
Brazil,2000,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
Finland,1956,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Finland,1920,Summer,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
Finland,1924,Summer,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver
Finland,1928,Summer,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
Finland,1932,Summer,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze
Germany,1932,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
United States,2008,Summer,Cycling,Cycling Men's Individual Time Trial,Bronze
South Africa,1952,Summer,Boxing,Boxing Men's Featherweight,Bronze
Switzerland,1952,Summer,Rowing,Rowing Men's Coxed Fours,Silver
West Germany,1984,Summer,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
Netherlands,1988,Summer,Hockey,Hockey Men's Hockey,Bronze
Portugal,1984,Summer,Athletics,"Athletics Men's 5,000 metres",Bronze
Brazil,1980,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Austria,1960,Winter,Alpine Skiing,Alpine Skiing Men's Slalom,Silver
Germany-2,2002,Winter,Luge,Luge Mixed (Men)'s Doubles,Gold
Germany-2,2010,Winter,Luge,Luge Mixed (Men)'s Doubles,Bronze
Sweden,1984,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Netherlands,1988,Summer,Hockey,Hockey Women's Hockey,Bronze
Netherlands,1988,Summer,Hockey,Hockey Women's Hockey,Bronze
Yugoslavia,1988,Summer,Basketball,Basketball Women's Basketball,Silver
Poland,1936,Summer,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Silver
France,1912,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Norway,1908,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
France,1920,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
France,2012,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
France,2016,Summer,Athletics,Athletics Men's 200 metres,Bronze
Great Britain,1984,Summer,Hockey,Hockey Men's Hockey,Bronze
Great Britain,1988,Summer,Hockey,Hockey Men's Hockey,Gold
Australia,1984,Summer,Swimming,Swimming Men's 400 metres Freestyle,Bronze
Soviet Union,1972,Summer,Boxing,Boxing Men's Middleweight,Gold
Hungary,1948,Summer,Water Polo,Water Polo Men's Water Polo,Silver
Hungary,1952,Summer,Water Polo,Water Polo Men's Water Polo,Gold
Canada,2002,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Germany,2016,Summer,Handball,Handball Men's Handball,Bronze
Sweden,1906,Summer,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Bronze
Sweden,1906,Summer,Athletics,Athletics Men's Shot Put,Bronze
Sweden,1906,Summer,Athletics,"Athletics Men's Javelin Throw, Freestyle",Gold
Sweden,1906,Summer,Athletics,Athletics Men's Pentathlon (Ancient),Bronze
Sweden,1908,Summer,Athletics,Athletics Men's Javelin Throw,Gold
Sweden,1908,Summer,Athletics,"Athletics Men's Javelin Throw, Freestyle",Gold
Sweden,1912,Summer,Athletics,Athletics Men's Javelin Throw,Gold
France,2016,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
France,1932,Summer,Fencing,"Fencing Men's Foil, Team",Gold
France,1936,Summer,Fencing,"Fencing Men's Foil, Team",Silver
"Phalainis ton Thorichtou ""Hydra""-2",1906,Summer,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Silver
France,1984,Summer,Football,Football Men's Football,Gold
Belgium,1984,Summer,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
Finland,1952,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Cuba,1992,Summer,Boxing,Boxing Men's Light-Middleweight,Gold
United States,1996,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
United States,2000,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
Trinidad and Tobago,2012,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
France,1920,Summer,Tennis,Tennis Women's Singles,Gold
France-3,1920,Summer,Tennis,Tennis Mixed Doubles,Gold
France,1920,Summer,Tennis,Tennis Women's Doubles,Bronze
France,1984,Summer,Fencing,"Fencing Men's epee, Team",Silver
France,1988,Summer,Fencing,"Fencing Men's epee, Team",Gold
Hungary,1936,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Austria,1904,Summer,Gymnastics,Gymnastics Men's Individual All-Around,Gold
Austria,1904,Summer,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work",Silver
"Philadelphia Turngemeinde, Philadelphia",1904,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
Germany,1960,Summer,Rowing,Rowing Men's Coxed Eights,Gold
Australia,2004,Summer,Swimming,Swimming Women's 50 metres Freestyle,Bronze
Australia,2004,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Australia,2008,Summer,Swimming,Swimming Women's 100 metres Freestyle,Silver
Australia,2008,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Australia,2008,Summer,Swimming,Swimming Women's 100 metres Butterfly,Gold
Australia,2008,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
Australia,2012,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
United States,1992,Summer,Diving,Diving Men's Springboard,Gold
United States,1996,Summer,Diving,Diving Men's Springboard,Bronze
Austria,1960,Winter,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Bronze
Spain,1952,Summer,Shooting,"Shooting Men's Free Pistol, 50 metres",Silver
Spain,1996,Summer,Sailing,Sailing Mixed Multihull,Gold
Cuba,2008,Summer,Boxing,Boxing Men's Bantamweight,Silver
United States,1936,Summer,Modern Pentathlon,Modern Pentathlon Men's Individual,Silver
United States,1904,Summer,Tennis,Tennis Men's Singles,Bronze
United States-1,1904,Summer,Tennis,Tennis Men's Doubles,Gold
Cuba,1980,Summer,Athletics,Athletics Men's 100 metres,Silver
United States,1976,Summer,Boxing,Boxing Men's Light-Welterweight,Gold
Switzerland,2002,Winter,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
Italy,2004,Summer,Rowing,Rowing Men's Coxless Fours,Bronze
Ukraine,2004,Summer,Sailing,Sailing Mixed Skiff,Silver
Italy,1960,Summer,Athletics,Athletics Women's 100 metres,Bronze
United States,1996,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
Germany,2004,Summer,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
Germany,2004,Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
Germany,2012,Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
Greece,1996,Summer,Weightlifting,Weightlifting Men's Featherweight,Silver
Soviet Union,1952,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
Soviet Union,1952,Summer,Gymnastics,Gymnastics Men's Rings,Bronze
Soviet Union,1960,Summer,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze
Soviet Union,1988,Summer,Basketball,Basketball Women's Basketball,Bronze
Soviet Union,1964,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
Soviet Union,1968,Summer,Volleyball,Volleyball Women's Volleyball,Gold
Soviet Union,1972,Summer,Volleyball,Volleyball Women's Volleyball,Gold
Romania,1992,Summer,Rowing,Rowing Women's Coxed Eights,Silver
France,1948,Summer,Fencing,"Fencing Men's epee, Team",Gold
France,1924,Summer,Rowing,Rowing Men's Coxed Fours,Silver
United States,2012,Summer,Football,Football Women's Football,Gold
Unified Team,1992,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Finland,2010,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Finland,2014,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
France,2016,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
France,2012,Summer,Basketball,Basketball Women's Basketball,Silver
Norway,1948,Summer,Rowing,Rowing Men's Coxed Eights,Bronze
Italy,1920,Summer,Equestrianism,"Equestrianism Men's Jumping, Individual",Gold
Italy,1924,Summer,Equestrianism,"Equestrianism Men's Jumping, Individual",Silver
Italy,1924,Summer,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Bronze
Poland,1960,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
Germany,1936,Summer,Fencing,"Fencing Men's Foil, Team",Bronze
France,1896,Summer,Athletics,"Athletics Men's 1,500 metres",Bronze
Belgium,1948,Summer,Cycling,"Cycling Men's Road Race, Team",Gold
France,1996,Summer,Fencing,"Fencing Men's epee, Team",Bronze
United States,2012,Summer,Football,Football Women's Football,Gold
France,1920,Summer,Archery,"Archery Men's Target Archery, 28 metres, Team",Bronze
France,1920,Summer,Archery,"Archery Men's Target Archery, 33 metres, Team",Silver
France,1920,Summer,Archery,"Archery Men's Target Archery, 50 metres, Team",Silver
United States,1904,Summer,Tennis,Tennis Men's Singles,Silver
United States-2,1904,Summer,Tennis,Tennis Men's Doubles,Silver
Italy,1924,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
Italy,1932,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
Italy,1932,Summer,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
Great Britain,1952,Summer,Athletics,Athletics Women's High Jump,Silver
France,1924,Summer,Equestrianism,"Equestrianism Men's Dressage, Individual",Bronze
France,1932,Summer,Equestrianism,"Equestrianism Men's Dressage, Individual",Gold
France,1932,Summer,Equestrianism,"Equestrianism Men's Dressage, Team",Gold
L'Aile VI,1928,Summer,Sailing,Sailing Mixed 8 metres,Gold
Belarus,2012,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
L'Aile VI,1928,Summer,Sailing,Sailing Mixed 8 metres,Gold
United States,1996,Summer,Basketball,Basketball Women's Basketball,Gold
United States,2000,Summer,Basketball,Basketball Women's Basketball,Gold
United States,2004,Summer,Basketball,Basketball Women's Basketball,Gold
United States,2008,Summer,Basketball,Basketball Women's Basketball,Gold
Poland,1988,Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
Bulgaria,1980,Summer,Boxing,Boxing Men's Flyweight,Gold
Soviet Union,1980,Summer,Athletics,Athletics Women's Discus Throw,Bronze
France,1920,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Germany,2014,Winter,Biathlon,Biathlon Men's 20 kilometres,Silver
Germany,2014,Winter,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Silver
Great Britain,1912,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",Gold
Sweden,1960,Winter,Biathlon,Biathlon Men's 20 kilometres,Gold
Australia,1996,Summer,Softball,Softball Women's Softball,Bronze
Great Britain,1976,Summer,Rowing,Rowing Men's Coxed Eights,Silver
United States,1996,Summer,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
Russia,2016,Summer,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
Poland,2016,Summer,Rowing,Rowing Women's Quadruple Sculls,Bronze
Canada,1928,Summer,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze
Canada,2000,Summer,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
Germany,1992,Summer,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
Switzerland,2006,Winter,Freestyle Skiing,Freestyle Skiing Women's Aerials,Gold
Germany,1928,Summer,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold
East Germany,1980,Summer,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Bronze
Pupilles de Neptune de Lille-1,1900,Summer,Swimming,Swimming Men's 200 metres Team Swimming,Bronze
Germany,2016,Summer,Football,Football Women's Football,Gold
Netherlands,2016,Summer,Hockey,Hockey Women's Hockey,Silver
United States,1908,Summer,Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Gold
United States,1912,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",Bronze
United States,1912,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team",Bronze
United States,1912,Summer,Shooting,"Shooting Men's Running Target, Single Shot, Team",Silver
Romania,1956,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Romania,1956,Summer,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
Romania,1960,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Switzerland-1,1972,Winter,Bobsleigh,Bobsleigh Men's Four,Gold
Hungary,1980,Summer,Boxing,Boxing Men's Heavyweight,Bronze
Soviet Union,1988,Winter,Nordic Combined,Nordic Combined Men's Individual,Bronze
France,1920,Summer,Rugby,Rugby Men's Rugby,Silver
Italy,1920,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
France,1952,Summer,Fencing,"Fencing Men's Sabre, Team",Bronze
France,2008,Summer,Swimming,Swimming Men's 50 metres Freestyle,Silver
France,2008,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
France,2012,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
France,2012,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
United States,2012,Summer,Swimming,Swimming Women's 200 metres Individual Medley,Bronze
Sweden,1912,Summer,Cycling,"Cycling Men's Road Race, Team",Gold
Russia,2000,Summer,Rowing,Rowing Women's Quadruple Sculls,Bronze
Russia,2016,Summer,Handball,Handball Women's Handball,Gold
United States,1932,Summer,Fencing,"Fencing Men's Foil, Individual",Silver
United States,1932,Summer,Fencing,"Fencing Men's Foil, Team",Bronze
Kazakhstan,2016,Summer,Boxing,Boxing Men's Heavyweight,Silver
Hungary,1908,Summer,Rowing,Rowing Men's Single Sculls,Bronze
Italy,1928,Summer,Football,Football Men's Football,Bronze
Germany,2008,Summer,Cycling,Cycling Men's Team Sprint,Bronze
Germany,2012,Summer,Cycling,Cycling Men's Keirin,Silver
Germany,2012,Summer,Cycling,Cycling Men's Team Sprint,Bronze
